ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
Abbaye d'Aulne Brune des Pères 6,"Abbaye, Brune",6 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye d'Aulne Premier Cru,"Abbaye, Blonde",9%,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye d'Aulne Super Noël 9,"Abbaye, Bière de Noël",9 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye d'Aulne Triple Blonde,"Abbaye, Triple",8 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye d'Aulne Triple Brune,"Abbaye, Triple",8 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye de Boneffe,"Abbaye, Brune",9 %,Brasserie de Tubize,Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,,"50° 41′ 54,64″ N, 4° 12′ 19,74″ E"
Abbaye de Bonne-Espérance,Abbaye,"7,8 %",Brasserie La Bonchoise,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Abbaye de Bonne-Espérance Grand Cru,Abbaye,8 %,Brouwerij Het Anker (pour Zago srl),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Abbaye d'Aulne Val de Sambre,"Abbaye, Ambrée","6,4 %",Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
Abbaye de Forest,"Abbaye, Triple","6,5 %",Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Abbaye de Gembloux,Triple,"8,50%",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Abbaye de la Thure,Abbaye,10 %,Brasserie Brootcoorens,Brasserie Brootcoorens,Erquelinnes,Hainaut,Angélus,,"50° 18′ 25,77″ N, 4° 06′ 24,46″ E"
Abbaye de Saint-Martin Blonde,Abbaye,7 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Abbaye de Saint-Martin Brune,Abbaye,8 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Abbaye de Saint-Martin Cuvée de Noël,"Abbaye, Bière de Noël","8,5 %",Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Abbaye de Saint-Martin Triple,"Abbaye, Triple",9 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Abbaye de Oudkerken,Abbaye,"6,2 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Abbaye des Rocs Blonde,"Abbaye, Fermentation haute","7,5 %",Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Abbaye des Rocs Brune,"Abbaye, Brune",9 %,Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Abbaye des Rocs Grand Cru,"Abbaye, Ale","9,5 %",Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Abbaye des Rocs Spéciale Noël,"Abbaye, Bière de Noël",9 %,Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Abbaye du Park Blonde,"Abbaye, Blonde",6 %,Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Abbaye du Park Brune,"Abbaye, Brune",6 %,Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Abdis Blond,Blonde,"6,5 %",Brasserie Riva,Brasserie Riva,Dentergem,Flandre-Occidentale,2007,,
Abdis Bruin,Brune,"6,5 %",Brasserie Riva,Brasserie Riva,Dentergem,Flandre-Occidentale,2007,,
Abdis Tripel,Triple,"8,2 %",Brasserie Riva,Brasserie Riva,Dentergem,Flandre-Occidentale,2007,,
Abdij van Roosenberg Dubbel,Double,7 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Abdij van Roosenberg Tripel,Triple,9 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Achel 8 Blond,"Trappiste, Blonde",8 %,Abbaye d'Achel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Achel 8 Bruin,"Trappiste, Brune",8 %,Abbaye d'Achel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Achel Blond Extra,"Trappiste, Blonde","9,5 %",Abbaye d'Achel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Achel Bruin Extra,"Trappiste, Brune","9,5 %",Abbaye d'Achel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adelardus,Abbaye,7 %,Brasserie Cornelissen pour la Brasserie Kerkom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adelardus Tripel,"Abbaye, Triple",9 %,Brasserie Cornelissen pour la Brasserie Kerkom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adler,Pils,"6,5 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Adriaen Brouwer,"Fermentation haute, Brune",5 %,Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Adriaen Brouwer Dark Gold,"Fermentation haute, Brune","8,5 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Affligem Blond,"Abbaye, Blonde","6,8 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affligem Dubbel,"Abbaye, Brune","6,8 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affligem 950 Cuvee,"Abbaye, Blonde","6,8 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affligem Noël,"Abbaye, Bière de Noël",9 %,Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affligem Patersvat,"Abbaye, Double","6,8 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Affligem Tripel,"Abbaye, Triple","8,5 %",Brasserie Affligem (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Agrumbocq,"Fermentation haute, Blanche, Fruitée","3,1 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Alpaïde,"Brune, Triple",10 %,Brasserie Nieuwhuys,Brasserie Nieuwhuys,Hoegaarden,Brabant flamand,Nieuwhuys Huardis,,
Alpaïde Cuvée van de generaal,"Blonde, Triple","8,5 %",Brasserie Nieuwhuys,Brasserie Nieuwhuys,Hoegaarden,Brabant flamand,Nieuwhuys Huardis,,
Akila Pils,Pils,5 %,Brasserie Louwaege,Brasserie Louwaege,Kortemark,Flandre-Occidentale,,,
Alfri,Pils NA,"0,5 %",Brasserie Roman,Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel",,
Altitude 6,"Ale, Blonde",6 %,Brasserie de l'Abbaye des Rocs,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,,"50° 22′ 13″ N, 3° 43′ 34″ E"
Alvinne Extra Restyled,Ambrée,7 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Alvinne Lex'ke,Blonde,"6,3 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Alvinne Tripel,Triple,"8,7 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Alvino Bourgogne Barrel OA,Fruitée,"5,5 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
L’Amarante,Fermentation haute,8 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Ambetanterik,Stout,"8,7 %",Brasserie Het Alternatief par la Brasserie Alvinne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ambiorix,Rouge-brune,8 %,Brasserie Slaghmuylder,Brasserie Slaghmuylder,Ninove,Flandre-Orientale,"Witkap Pater, Slag Lager Pils",,
Angélus Blonde,Blonde,7 %,Brasserie Brootcoorens,Brasserie Brootcoorens,Erquelinnes,Hainaut,Angélus,,"50° 18′ 25,77″ N, 4° 06′ 24,46″ E"
Angélus Brune,Brune,7 %,Brasserie Brootcoorens,Brasserie Brootcoorens,Erquelinnes,Hainaut,Angélus,,"50° 18′ 25,77″ N, 4° 06′ 24,46″ E"
Angélus Spéciale Noël,Bière de Noël,9 %,Brasserie Brootcoorens,Brasserie Brootcoorens,Erquelinnes,Hainaut,Angélus,,"50° 18′ 25,77″ N, 4° 06′ 24,46″ E"
Anker Blond,Blonde,"6,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Anker Boscoulis,Fruitée,"6,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Anker Herfstbok,"Brune, Spéciale, Bock","6,5 %",Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Anker Pils,Pils,5 %,Brasserie Het Anker,Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer",,"51° 01′ 55″ N, 4° 28′ 23″ E"
Antiek Blond,Blonde,8 %,Brasserie Deca,Brasserie Deca,Vleteren,Flandre-Occidentale,"Antiek, Vleteren",,
Antiek Bruin,Brune,8 %,Brasserie Deca,Brasserie Deca,Vleteren,Flandre-Occidentale,"Antiek, Vleteren",,
Antiek Super 5 Blond,Blonde,5 %,Brasserie Deca,Brasserie Deca,Vleteren,Flandre-Occidentale,"Antiek, Vleteren",,
Antwerps Blond,Blonde,5 %,Huisbrouwerij 't Pakhuis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antwerps Bruin,Brune,"5,8 %",Huisbrouwerij 't Pakhuis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Applebocq,Fruitée,"3,1 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Arabière,Blonde,8 %,De Dolle Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Archiduc,,"6,2 %",Brasserie d'Écaussinnes,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,"1830, Ultra",,"50° 33′ 30,17″ N, 4° 08′ 06,91″ E"
Ardenne Saison,"Blonde, Saison","5,5 %",Brasserie de Bastogne,Brasserie de Bastogne,Vaux-sur-Sûre,Luxembourg,"Trouffette, Bastogne Pale Ale",,"49° 57′ 24,28″ N, 5° 37′ 20,69″ E"
Ardenne Stout,Stout,8 %,Brasserie de Bastogne,Brasserie de Bastogne,Vaux-sur-Sûre,Luxembourg,"Trouffette, Bastogne Pale Ale",,"49° 57′ 24,28″ N, 5° 37′ 20,69″ E"
A Ré,Blonde,"6,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Arend Blond,Blonde,"6,5 %",Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Arend Dubbel,brune,"6,5 %",Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Arend Tripel,Blonde dorée,8 %,Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Arend Winter,Ambrée,"6,3 %",Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Arendonker Bruin,Brune,"8,5 %",Dorpsbrouwerije Humulus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arendonker Tripel,Blonde dorée,8 %,Dorpsbrouwerije Humulus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Armand’4 Herfst,Vieille Gueuze,6 %,Brasserie Drie Fonteinen,Brasserie Drie Fonteinen,Beersel,Brabant flamand,"Drie Fonteinen, Doesjel, Armand'4, Beersel",,
Armand’4 Lente,Vieille Gueuze,6 %,Brasserie Drie Fonteinen,Brasserie Drie Fonteinen,Beersel,Brabant flamand,"Drie Fonteinen, Doesjel, Armand'4, Beersel",,
Armand’4 Winter,Vieille Gueuze,6 %,Brasserie Drie Fonteinen,Brasserie Drie Fonteinen,Beersel,Brabant flamand,"Drie Fonteinen, Doesjel, Armand'4, Beersel",,
Armand’4 Zomer,Vieille Gueuze,6 %,Brasserie Drie Fonteinen,Brasserie Drie Fonteinen,Beersel,Brabant flamand,"Drie Fonteinen, Doesjel, Armand'4, Beersel",,
Artevelde,Spéciale,"5,7 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Artevelde Grand Cru,Rouge-brune,"7,2 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Asterie,Blanche,"4,9 %",Brasserie d'Écaussinnes,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,"1830, Ultra",,"50° 33′ 30,17″ N, 4° 08′ 06,91″ E"
Atomium Premier Grand Cru,Ambrée,8 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aubel Double,Brune,6 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Aubel Triple,Triple,9 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Augrenelle,"Blonde, Bière de table","2,5 %",Brasserie Augrenoise,Brasserie Augrenoise,Soignies,Hainaut,Augrenoise,,"50° 32′ 34,18″ N, 4° 02′ 26,81″ E"
Augrenette,Blonde,"4,5 %",Brasserie Augrenoise,Brasserie Augrenoise,Soignies,Hainaut,Augrenoise,,"50° 32′ 34,18″ N, 4° 02′ 26,81″ E"
Augrenoise,Blonde,"6,5 %",Brasserie Augrenoise,Brasserie Augrenoise,Soignies,Hainaut,Augrenoise,,"50° 32′ 34,18″ N, 4° 02′ 26,81″ E"
Augrenoise Blonde de Noël,"Blonde, Bière de Noël",10 %,Brasserie Augrenoise,Brasserie Augrenoise,Soignies,Hainaut,Augrenoise,,"50° 32′ 34,18″ N, 4° 02′ 26,81″ E"
Augustijn Blond,Abbaye,"7,5 %",Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Augustijn Donker,Abbaye,7 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Augustijn Grand Cru,"Abbaye, Triple",9 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
L'Aurore de la Salme,Brune,,Brasserie de l'Abbaye du Val-Dieu,Brasserie de l'abbaye du Val-Dieu,Aubel,Liège,Val-Dieu,7 500,"50° 41′ 54″ N, 5° 48′ 16″ E"
Authentique 621,Brune,"7,5 %",Authentique Brasserie,Authentique Brasserie,Bernissart,Hainaut,"Authentique, Pils des Trois Canaux",,"50° 29′ 57,21″ N, 3° 40′ 25,89″ E"
Authentique Ambrée,Ambrée,5 %,Authentique Brasserie,Authentique Brasserie,Bernissart,Hainaut,"Authentique, Pils des Trois Canaux",,"50° 29′ 57,21″ N, 3° 40′ 25,89″ E"
Authentique Blonde,Blonde,"6,5 %",Authentique Brasserie,Authentique Brasserie,Bernissart,Hainaut,"Authentique, Pils des Trois Canaux",,"50° 29′ 57,21″ N, 3° 40′ 25,89″ E"
Authentique Blonde de Noël,Bière de Noël,9 %,Authentique Brasserie,Authentique Brasserie,Bernissart,Hainaut,"Authentique, Pils des Trois Canaux",,"50° 29′ 57,21″ N, 3° 40′ 25,89″ E"
Authentique Triple,Triple,"9,5 %",Authentique Brasserie,Authentique Brasserie,Bernissart,Hainaut,"Authentique, Pils des Trois Canaux",,"50° 29′ 57,21″ N, 3° 40′ 25,89″ E"
L'Autruche,Blonde,7 %,Brasserie de Silenrieux,Brasserie de Silenrieux,Cerfontaine,Namur,"Joseph, Sara",,"50° 13′ 23,66″ N, 4° 24′ 43,82″ E"
Averbode,"Blonde, Fermentation haute","7,5 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
BAB 401,Brune,8 %,Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Bacchus,Vieille brune,"4,5 %",Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
Bacchus Frambozenbière,Fruitée,5 %,Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
Bacchus Kriekenbière,Fruitée,"5,8 %",Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
Balthazar,Bière de Noël,"8,9 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Barbãr,"Blonde, Bière au miel",8 %,Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Barbãr Winter Bok,"Bock, Bière au miel",8 %,Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Barbe d'Or (Goudbaard),Blonde,"7,5 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Barbe Noire (Zwartbaard),Stout,9 %,Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Barbe Rouge (Roodbaard),Ambrée,8 %,Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
La Barbiot Ambrée,Fermentation haute,"9,5 %",Brasserie la Barbiot,Brasserie La Barbiot,Le Rœulx,Hainaut,Barbiot,,"50° 28′ 32,45″ N, 4° 04′ 03,31″ E"
La Barbiot Blonde,Fermentation haute,8 %,Brasserie la Barbiot,Brasserie La Barbiot,Le Rœulx,Hainaut,Barbiot,,"50° 28′ 32,45″ N, 4° 04′ 03,31″ E"
Bas,Blonde dorée,"6,5 %",De Proefbrouwerij pour Bas-bieren,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Basèque,Blonde,"5,5 %",Brasserie des Carrières,Brasserie des Carrières,Belœil,Hainaut,Diôle,,
Basilius,Ambrée,7 %,De Proefbrouwerij pour ’t Brugs bierinstituut,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bastogne Pale Ale,IPA,"6,5 %",Brasserie de Bastogne,Brasserie de Bastogne,Vaux-sur-Sûre,Luxembourg,"Trouffette, Bastogne Pale Ale",,"49° 57′ 24,28″ N, 5° 37′ 20,69″ E"
Bavaro,"Blonde, Fermentation basse","3,6 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Bavik Blond,Bière de table,"1,5 %",Brasserie De Brabandere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bavik Faro,Bière de table,"1,5 %",Brasserie De Brabandere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bavik Pony-Stout,Stout,"5,2 %",Brasserie De Brabandere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bavik Premium Pils,Pils,"5,2 %",Brasserie De Brabandere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bavik Triple Bock,Bock,3 %,Brasserie De Brabandere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bêchette,Fruitée,"7,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Beer for Life,Blonde,"6,5 %",Brasserie Dilewyns,Brasserie Dilewyns,Termonde,Flandre-Orientale,Vicaris,,
Beernems Berenbière,Blonde,"7,5 %",Brasserie Van Steenberge pour BIVO Drinks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beersel Bio,Blonde,7 %,Gueuzestekerij 3 Fonteinen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beersel Blond,Blonde,7 %,Gueuzestekerij 3 Fonteinen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beersel Lager,Pils,"5,2 %",Gueuzestekerij 3 Fonteinen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bel Pils,Pils,5 %,Brasserie Duvel Moortgat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgian Angel Stout,Stout,"5,2 %",Brasserie Brootcoorens,Brasserie Brootcoorens,Erquelinnes,Hainaut,Angélus,,"50° 18′ 25,77″ N, 4° 06′ 24,46″ E"
Belgian Framboises,Fruitée,"3,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Belgian Kriek,Fruitée,"3,5 %",Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
